invoice_id,line_id,sku,field_checked,expected_value,actual_value,delta,status,explanation,evidence
INV-1001,1,CP-001,unit_price,5.0,5.5,0.5,FAIL,"Invoice unit_price 5.5 exceeds the contract value 5.0 (delta +0.5000). Authoritative source: amendment_q2.docx (precedence 2). unit_price: Defined at $5.50 in pricing.xlsx (precedence 3) and master_contract.pdf (precedence 4). Revised to $5.00 in amendment_q2.docx Section 2 (precedence 2) which supersedes lower-precedence sources, so $5.00 is final. discount_percent: Listed as 5% in pricing.xlsx Base Pricing (precedence 3) and master_contract.pdf (precedence 4). amendment_q2.docx Table (precedence 2) shows 10% (with 5% old value), and pricing.xlsx Discounts sheet logs the same 10% override but at lower precedence; therefore 10% prevails. tax_percent: Specified only in pricing.xlsx (8%) and master_contract.pdf (8%); no higher-precedence document alters it, so 8% stands. effective_date: amendment_q2.docx states revisions are effective January 1 2026, overriding prior effective date of 2025-01-01 in lower-precedence sheets, thus 2026-01-01 is the final effective date.",amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,1,CP-001,discount_percent,10.0,5.0,-5.0,FAIL,"Invoice discount_percent 5.0 is below the contract value 10.0 (delta -5.0000). Authoritative source: amendment_q2.docx (precedence 2). unit_price: Defined at $5.50 in pricing.xlsx (precedence 3) and master_contract.pdf (precedence 4). Revised to $5.00 in amendment_q2.docx Section 2 (precedence 2) which supersedes lower-precedence sources, so $5.00 is final. discount_percent: Listed as 5% in pricing.xlsx Base Pricing (precedence 3) and master_contract.pdf (precedence 4). amendment_q2.docx Table (precedence 2) shows 10% (with 5% old value), and pricing.xlsx Discounts sheet logs the same 10% override but at lower precedence; therefore 10% prevails. tax_percent: Specified only in pricing.xlsx (8%) and master_contract.pdf (8%); no higher-precedence document alters it, so 8% stands. effective_date: amendment_q2.docx states revisions are effective January 1 2026, overriding prior effective date of 2025-01-01 in lower-precedence sheets, thus 2026-01-01 is the final effective date.",amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,1,CP-001,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from amendment_q2.docx.,amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,1,CP-001,total_amount,58320.0,67716.0,9396.0,FAIL,"Invoice total_amount 67716.0 exceeds the contract value 58320.0 (delta +9396.0000). Authoritative source: amendment_q2.docx (precedence 2). unit_price: Defined at $5.50 in pricing.xlsx (precedence 3) and master_contract.pdf (precedence 4). Revised to $5.00 in amendment_q2.docx Section 2 (precedence 2) which supersedes lower-precedence sources, so $5.00 is final. discount_percent: Listed as 5% in pricing.xlsx Base Pricing (precedence 3) and master_contract.pdf (precedence 4). amendment_q2.docx Table (precedence 2) shows 10% (with 5% old value), and pricing.xlsx Discounts sheet logs the same 10% override but at lower precedence; therefore 10% prevails. tax_percent: Specified only in pricing.xlsx (8%) and master_contract.pdf (8%); no higher-precedence document alters it, so 8% stands. effective_date: amendment_q2.docx states revisions are effective January 1 2026, overriding prior effective date of 2025-01-01 in lower-precedence sheets, thus 2026-01-01 is the final effective date.",amendment_q2.docx — Section 2 — Revised Unit Pricing; amendment_q2.docx — Table
INV-1001,2,AP-002,unit_price,12.0,12.0,0.0,PASS,Correct unit_price. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row Row 4-7; master_contract.pdf — Page 1
INV-1001,2,AP-002,discount_percent,0.0,0.0,0.0,PASS,Correct discount_percent. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row Row 4-7; master_contract.pdf — Page 1
INV-1001,2,AP-002,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row Row 4-7; master_contract.pdf — Page 1
INV-1001,2,AP-002,total_amount,2592.0,2592.0,0.0,PASS,Correct total_amount. Matches contract value from pricing.xlsx.,pricing.xlsx — Base Pricing — Row Row 4-7; master_contract.pdf — Page 1
INV-1001,3,EL-003,unit_price,3.25,3.25,0.0,PASS,Correct unit_price. Matches contract value from amendment_q2.docx.,amendment_q2.docx — Section 3 — Revised Discount Schedule; amendment_q2.docx — Section 2 — Revised Unit Pricing
INV-1001,3,EL-003,discount_percent,12.0,8.0,-4.0,FAIL,"Invoice discount_percent 8.0 is below the contract value 12.0 (delta -4.0000). Authoritative source: amendment_q2.docx (precedence 2). unit_price: master_contract.pdf (4) and pricing.xlsx (3) both state $3.25; amendment_q2.docx (2) confirms no change, so pricing.xlsx value $3.25 stands as highest explicit price. discount_percent: master_contract.pdf (4) and pricing.xlsx (3) give 8%; amendment_q2.docx (2) revises to 12% effective 2026-01-01, overriding lower precedence. tax_percent: master_contract.pdf (4) and pricing.xlsx (3) list 8%; no higher-precedence source changes it, so 8% from pricing.xlsx remains. effective_date taken from amendment_q2.docx, which sets revised discount effective 2026-01-01, the latest controlling term. Overall, amendment_q2.docx is the most authoritative source affecting EL-003, hence listed as source_document with precedence 2.",amendment_q2.docx — Section 3 — Revised Discount Schedule; amendment_q2.docx — Section 2 — Revised Unit Pricing
INV-1001,3,EL-003,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from amendment_q2.docx.,amendment_q2.docx — Section 3 — Revised Discount Schedule; amendment_q2.docx — Section 2 — Revised Unit Pricing
INV-1001,3,EL-003,total_amount,26254.8,27448.2,1193.4,FAIL,"Invoice total_amount 27448.2 exceeds the contract value 26254.8 (delta +1193.4000). Authoritative source: amendment_q2.docx (precedence 2). unit_price: master_contract.pdf (4) and pricing.xlsx (3) both state $3.25; amendment_q2.docx (2) confirms no change, so pricing.xlsx value $3.25 stands as highest explicit price. discount_percent: master_contract.pdf (4) and pricing.xlsx (3) give 8%; amendment_q2.docx (2) revises to 12% effective 2026-01-01, overriding lower precedence. tax_percent: master_contract.pdf (4) and pricing.xlsx (3) list 8%; no higher-precedence source changes it, so 8% from pricing.xlsx remains. effective_date taken from amendment_q2.docx, which sets revised discount effective 2026-01-01, the latest controlling term. Overall, amendment_q2.docx is the most authoritative source affecting EL-003, hence listed as source_document with precedence 2.",amendment_q2.docx — Section 3 — Revised Discount Schedule; amendment_q2.docx — Section 2 — Revised Unit Pricing
INV-1001,4,DM-004,unit_price,45.0,45.0,0.0,PASS,Correct unit_price. Matches contract value from email_addendum.eml.,email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
INV-1001,4,DM-004,discount_percent,5.0,0.0,-5.0,FAIL,"Invoice discount_percent 0.0 is below the contract value 5.0 (delta -5.0000). Authoritative source: email_addendum.eml (precedence 1). unit_price: Stated as $45.00 in email_addendum.eml (precedence 1), pricing.xlsx Base Pricing (precedence 3) and master_contract.pdf (precedence 4); since all match, the value 45.0 from the highest-precedence email stands. discount_percent: master_contract.pdf and pricing.xlsx list 0%, but email_addendum.eml revises it to 5% effective 2026-01-01; precedence rule selects 5%. tax_percent: Consistently 8% across email_addendum.eml, pricing.xlsx, and master_contract.pdf; highest-precedence email value retains. effective_date: Only email_addendum.eml specifies an effective date (2026-01-01) for the new discount; no conflicting dates elsewhere, so this is final.",email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
INV-1001,4,DM-004,tax_percent,8.0,8.0,0.0,PASS,Correct tax_percent. Matches contract value from email_addendum.eml.,email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
INV-1001,4,DM-004,total_amount,6925.5,7290.0,364.5,FAIL,"Invoice total_amount 7290.0 exceeds the contract value 6925.5 (delta +364.5000). Authoritative source: email_addendum.eml (precedence 1). unit_price: Stated as $45.00 in email_addendum.eml (precedence 1), pricing.xlsx Base Pricing (precedence 3) and master_contract.pdf (precedence 4); since all match, the value 45.0 from the highest-precedence email stands. discount_percent: master_contract.pdf and pricing.xlsx list 0%, but email_addendum.eml revises it to 5% effective 2026-01-01; precedence rule selects 5%. tax_percent: Consistently 8% across email_addendum.eml, pricing.xlsx, and master_contract.pdf; highest-precedence email value retains. effective_date: Only email_addendum.eml specifies an effective date (2026-01-01) for the new discount; no conflicting dates elsewhere, so this is final.",email_addendum.eml — Email Body; pricing.xlsx — Base Pricing — Row 7-7
